timestamp_coleta,trip_id,route_id,direction_id,start_time,start_date,vehicle_id,vehicle_label,stop_sequence,stop_id,arrival_delay,departure_delay
2026-04-21 07:55:09,S70   011080400620,S70,0,06:20:00,20260421,1130,Shopping Del Rey (Principal),60,14790448,,1592
2026-04-21 07:55:09,2662548S307682P071000,S64,0,07:10:00,20260421,1122,Campo Alegre/Céu Azul Via Venda Nova,42,14789760,,498
2026-04-21 07:55:09,S10   011080220650,S10,0,06:50:00,20260421,1137,Bh Shopping,51,14789022,,-1651
2026-04-21 07:55:09,3124605S307679P065500,9030,0,06:55:00,20260421,10737,Castanheira,55,14789902,,-246
2026-04-21 07:55:09,716   011080270730,716,0,07:30:00,20260421,20990,Estação São Gabriel,31,14784691,,234
2026-04-21 07:55:09,2662266S307679P073500,811,0,07:35:00,20260421,20998,Estação São Gabriel,31,14785418,,-22
2026-04-21 07:55:09,S61   011080420701,S61,0,07:01:00,20260421,1185,Estação Vilarinho,42,14793664,,1260
2026-04-21 07:55:09,S61   011080420653,S61,0,06:53:00,20260421,1197,Estação Vilarinho,57,14787499,,801
2026-04-21 07:55:09,2662107S307679P071600,737,0,07:16:00,20260421,11209,Jaqueline,37,14785623,,675
2026-04-21 07:55:09,739   011080110720,739,0,07:20:00,20260421,11208,Jaqueline,45,14784679,,-94
2026-04-21 07:55:09,3301A 011080290700,3301A,0,07:00:00,20260421,41090,Santa Terezinha,47,14785530,,651
2026-04-21 07:55:09,3503A 031080450750,3503A,0,07:50:00,20260421,41088,São Gabriel (Partidas do Ouro Minas),4,14788722,,177
2026-04-21 07:55:09,2662011S307679P074100,3503A,0,07:41:00,20260421,41087,São Gabriel,19,14786567,,167
2026-04-21 07:55:09,2662009S307679P072800,3503A,1,07:28:00,20260421,41086,Santa Terezinha (Partidas do Ouro Minas),31,14790899,,-110
2026-04-21 07:55:09,2662538S307679P070800,8350,1,07:08:00,20260421,41076,Estação São Gabriel,29,14791010,,159
2026-04-21 07:55:09,2662172S307679P074500,4102,0,07:45:00,20260421,41074,Serra,5,14787245,,478
2026-04-21 07:55:09,2662208S307679P065500,4801A,1,06:55:00,20260421,41078,Jardim Filadelfia (Via Rua Iraci),74,14788725,,-92
2026-04-21 07:55:09,2661816S307679P072000,8107,0,07:20:00,20260421,41071,São Pedro,26,14788879,,851
2026-04-21 07:55:09,2662437S307679P065300,4405,0,06:53:00,20260421,41064,Coqueiros (Atendimento Hospitais e Rua Eneida),65,14785886,,262
2026-04-21 07:55:09,2662010S307679P074000,3503A,1,07:40:00,20260421,41063,Santa Terezinha,15,14790072,,81
2026-04-21 07:55:09,8501  012080530730,8501,1,07:30:00,20260421,41069,Maria Goretti,30,14789308,,126
2026-04-21 07:55:09,2662492S307679P072500,1404A,0,07:25:00,20260421,41053,Alipio De Melo (Principal),43,14793347,,138
2026-04-21 07:55:09,2662432S307679P073000,638,0,07:30:00,20260421,41059,Estação Vilarinho,32,14789596,,93
2026-04-21 07:55:09,2964965S307679P071900,5035,0,07:19:00,20260421,41051,Hospitais Via Serrano,43,14789630,,-87
2026-04-21 07:55:09,2662381S307679P072000,8106,0,07:20:00,20260421,41048,BH Shopping,27,14785748,,764
2026-04-21 07:55:09,9501  012080450715,9501,1,07:15:00,20260421,41049,São Lucas,44,14789977,,-52
2026-04-21 07:55:09,2662458S307679P070800,8350,0,07:08:00,20260421,11182,Estação Barreiro (Direta),11,14789849,,730
2026-04-21 07:55:09,9403  011080480720,9403,0,07:20:00,20260421,11186,Caiçara,36,14789068,,208
2026-04-21 07:55:09,2662362S307679P071500,9501,0,07:15:00,20260421,11188,Jaraguá (Atendimento Ao Novo São Lucas),41,14786502,,219
2026-04-21 07:55:09,9403  012080500730,9403,1,07:30:00,20260421,11189,Paraiso,27,14787462,,110
2026-04-21 07:55:09,2661816S307679P074000,8107,0,07:40:00,20260421,11198,São Pedro,26,14788879,,-348
2026-04-21 07:55:09,9408  011080460740,9408,0,07:40:00,20260421,11174,Padre Eustáquio,15,14787486,,316
2026-04-21 07:55:09,8106  012080550710,8106,1,07:10:00,20260421,11179,Santa Cruz,31,14792479,,671
2026-04-21 07:55:09,2662245S307679P075000,626,0,07:50:00,20260421,11154,Estação Venda Nova (Esplendor/Estacao Venda Nova),6,14787837,,132
2026-04-21 07:55:09,635   021080200715,635,0,07:15:00,20260421,11132,Estação Vilarinho (Principal),43,14784644,,751
2026-04-21 07:55:09,2661879S307679P073200,9104,0,07:32:00,20260421,20949,Luxemburgo,12,14789109,,825
2026-04-21 07:55:09,615   041080040730,615,0,07:30:00,20260421,20967,Ceu Azul (Via Rua Carlos Lacerda),33,14786975,,76
2026-04-21 07:55:09,2661776S307679P074000,808,0,07:40:00,20260421,20948,Estação São Gabriel,20,14786278,,-634
2026-04-21 07:55:09,2662104S307679P074000,806,0,07:40:00,20260421,20945,Estação São Gabriel,21,28001937,,-934
2026-04-21 07:55:09,2662425S307679P071400,814,0,07:14:00,20260421,40537,Estação São Gabriel,30,14784328,,656
2026-04-21 07:55:09,2662445S307679P064700,51,0,06:47:00,20260421,40520,Estação Pampulha,38,14785245,,281
2026-04-21 07:55:09,9106  012080430710,9106,1,07:10:00,20260421,20909,Sagrada Família,29,14785816,,1225
2026-04-21 07:55:09,2662034S307679P074000,9106,0,07:40:00,20260421,20907,Serra,18,14791446,,310
2026-04-21 07:55:09,715   011080440732,715,0,07:32:00,20260421,20926,Estação São Gabriel,2,14789121,,1299
2026-04-21 07:55:09,715   011080440744,715,0,07:44:00,20260421,20924,Estação São Gabriel,6,14793383,,257
2026-04-21 07:55:09,2661930S307679P071500,4501,1,07:15:00,20260421,20920,California II,47,14790043,,-69
2026-04-21 07:55:09,2661957S307679P073000,4801A,1,07:30:00,20260421,41156,Jardim Filadelfia,22,14784176,,377
2026-04-21 07:55:09,S54   021080220720,S54,0,07:20:00,20260421,1213,Shopping Del Rey Via Padre Eustáquio (Principal Via Padre Eustáquio),28,14784110,,580
2026-04-21 07:55:09,2661859S307679P071200,64,0,07:12:00,20260421,41150,Estação Venda Nova (Retorno Avenida Dom Pedro II),35,14791057,,-56
2026-04-21 07:55:09,51    011080240655,51,0,06:55:00,20260421,41123,Estação Pampulha,26,14787449,,1019
2026-04-21 07:55:09,2662013S307679P073000,5106,0,07:30:00,20260421,41118,BH Shopping,27,14785457,,46
2026-04-21 07:55:09,2661841S307679P071000,4111,0,07:10:00,20260421,41107,Anchieta (Atendimento a Escola Guinard),51,14792332,,224
2026-04-21 07:55:09,5104  012080030735,5104,1,07:35:00,20260421,11342,Suzana,8,14786785,,851
2026-04-21 07:55:09,2661890S307679P073000,5104,0,07:30:00,20260421,11356,Cruzeiro,32,14791056,,-164
2026-04-21 07:55:09,2662139S307679P073500,609,0,07:35:00,20260421,11328,Serra Verde,22,14786861,,515
2026-04-21 07:55:09,620   011080160730,620,0,07:30:00,20260421,11327,Santa Monica,25,14788224,,636
2026-04-21 07:55:09,2662462S307679P065900,4034,0,06:59:00,20260421,41187,Novo Dom Bosco (Via Novo Dom Bosco e Conjunto Filadelfia),62,14789034,,337
2026-04-21 07:55:09,2662013S307679P065000,5106,0,06:50:00,20260421,41184,BH Shopping,50,14786280,,595
2026-04-21 07:55:09,2662013S307679P065000,5106,0,06:50:00,20260421,41181,BH Shopping,46,14791018,,761
2026-04-21 07:55:09,2662008S307679P071400,3503A,0,07:14:00,20260421,41176,São Gabriel (Partidas do Ouro Minas),36,14790737,,520
2026-04-21 07:55:09,2662507S307679P071400,5033,0,07:14:00,20260421,41175,Santa Terezinha,40,14784502,,165
2026-04-21 07:55:09,3301A 011080290740,3301A,0,07:40:00,20260421,41173,Santa Terezinha,7,14784812,,652
2026-04-21 07:55:09,2662009S307679P065100,3503A,1,06:51:00,20260421,41178,Santa Terezinha (Partidas do Ouro Minas),55,14789360,,-404
2026-04-21 07:55:09,2662507S307679P064200,5033,0,06:42:00,20260421,41177,Santa Terezinha,64,14788175,,11
2026-04-21 07:55:09,8205  012080400700,8205,1,07:00:00,20260421,41170,Maria Goretti,71,14786647,,-153
2026-04-21 07:55:09,2662484S307679P070800,3054,0,07:08:00,20260421,41165,Bairro Milionarios,53,14785763,,-8
2026-04-21 07:55:09,2662148S307679P072500,4033,0,07:25:00,20260421,41166,Camargos (Via Conjunto Aldeias Da Serra),30,14791527,,614
2026-04-21 07:55:09,2662256S307679P072000,617,0,07:20:00,20260421,11265,Piratininga,42,14788866,,263
2026-04-21 07:55:09,2662256S307679P074000,617,0,07:40:00,20260421,11264,Piratininga,25,14789496,,172
2026-04-21 07:55:09,2662048S307679P074800,707,0,07:48:00,20260421,11270,Estação São Gabriel,3,14792418,,136
2026-04-21 07:55:09,8208  011080530740,8208,0,07:40:00,20260421,11278,Estoril,19,14791726,,250
2026-04-21 07:55:09,641   011080150736,641,0,07:36:00,20260421,11240,Serra Verde,27,15276990,,145
2026-04-21 07:55:09,2662146S307679P072500,643,0,07:25:00,20260421,11242,Copacabana,27,14784698,,622
2026-04-21 07:55:09,623   011080260740,623,0,07:40:00,20260421,11249,Estação Venda Nova,18,14789531,,34
2026-04-21 07:55:09,2662503S307679P073800,636,0,07:38:00,20260421,11250,Estação Vilarinho (Principal),19,14789075,,156
2026-04-21 07:55:09,2662155S307679P073500,1404C,1,07:35:00,20260421,11257,Palmeiras,20,14792451,,446
